customer_id,customer_name,email,signup_date
1,Christine Obrien,johnsonjames@example.org,2024-06-25
2,Bonnie Trujillo,blackangela@example.org,2024-09-24
3,Mario Tate,nicholsonamanda@example.org,2025-10-27
4,Michael Miller,chansen@example.net,2025-02-24
5,Randy Bartlett,qnorris@example.com,2025-02-02
6,Matthew Foster,nconrad@example.org,2024-03-31
7,Kimberly Fischer,jacobwalls@example.org,2024-06-18
8,Shawn Cannon,ashleymullen@example.com,2025-02-26
9,Karl Jones,jacquelinewhite@example.com,2024-12-24
10,Lori Tucker,lancedoyle@example.com,2025-08-16
11,Heather Lopez,virginiabaldwin@example.org,2025-06-16
12,Kenneth Perry,johnsonmark@example.com,2024-04-24
13,Linda Ortega,ycampbell@example.com,2025-07-14
14,Ms. Maria Green,curtis00@example.com,2024-11-29
15,Debbie Little,dixondavid@example.net,2023-12-23
16,Sandra Dunn,uterrell@example.net,2025-08-23
17,Carla Cross,haynesnatasha@example.com,2026-07-30
18,Lindsay Bishop,whitegina@example.com,2026-03-02
19,Brian Allen,ghanson@example.com,2024-07-05
20,Brendan Hester,leetammy@example.org,2025-11-07
21,Edward Ortega,ywashington@example.org,2024-04-05
22,Matthew Hernandez,molinalinda@example.net,2025-01-17
23,William Vazquez,leemark@example.net,2025-05-27
24,Ricky Day,wcole@example.org,2026-01-26
25,Scott Prince,jrodriguez@example.com,2025-05-24
26,Diana Gibson,ishea@example.net,2025-02-27
27,Jacqueline Flores,xmyers@example.org,2026-01-23
28,Matthew Watson,katherinesmith@example.com,2026-04-24
29,Sean Marquez,pottserin@example.net,2025-06-02
30,Zachary Zavala,christine74@example.com,2025-01-15
31,Brent Johnson,pspears@example.org,2024-09-17
32,Julie Meadows,stevenkoch@example.org,2026-06-24
33,Erika Hernandez,christopher42@example.net,2026-03-31
34,Philip Baker,ystevens@example.net,2023-10-14
35,Steven Reyes,kevin68@example.com,2024-08-26
36,James Brown,samuel31@example.org,2026-06-18
37,Kristin Gonzalez,ronaldmoore@example.net,2025-03-06
38,Craig Harmon,econway@example.org,2024-02-02
39,Curtis Griffin,danielwilliams@example.com,2023-11-24
40,Samantha Shaffer,lloydamanda@example.org,2025-03-26
41,Susan Brooks,amanda50@example.net,2026-01-12
42,Rhonda Martinez,bestjoseph@example.org,2024-05-01
43,Steven Kelly,castrokelly@example.net,2025-03-11
44,Mark Smith,ronaldbrown@example.com,2024-03-06
45,Taylor Michael,jacksoncynthia@example.org,2024-06-04
46,Robin Sanchez,mario90@example.net,2025-07-09
47,Shawn Brown,karacox@example.org,2026-01-06
48,Michael Phillips,anthonykaren@example.com,2026-06-21
49,Sherry Davis,delacruzmary@example.org,2026-04-15
50,Diana Velazquez,matthew87@example.net,2026-03-07
51,Amanda Peterson,nlindsey@example.net,2025-07-08
52,James Craig,foxrebecca@example.com,2025-01-26
53,Brian Mcclain,jonesnicholas@example.org,2026-01-10
54,Emma White,sarah03@example.net,2026-08-05
55,Samantha Smith,reedcristian@example.com,2024-06-29
56,Taylor Anderson,hector77@example.net,2024-04-05
57,Dennis Morales,carlosshelton@example.net,2023-12-11
58,Randall Gay,linerica@example.org,2025-03-31
59,Caitlin Perez,devonturner@example.net,2025-02-01
60,Heidi Carr,matthew94@example.com,2026-01-24
61,Nicholas Ray,drichardson@example.org,2025-07-04
62,David Randolph,amypham@example.com,2025-08-09
63,Katie Stokes,michael48@example.org,2026-01-16
64,Kayla Larson,pbolton@example.org,2024-03-28
65,Jacob Cook,carolyn16@example.com,2024-07-17
66,Kristin Garcia,heatherwade@example.org,2026-02-23
67,David Patterson,vpatel@example.com,2024-05-19
68,Chelsea Alexander,robertleach@example.org,2025-12-01
69,Karl Rogers,rayreynolds@example.org,2024-02-11
70,Jennifer Johnson,daniel58@example.org,2025-03-17
71,Elizabeth Davenport,kimberlytaylor@example.com,2026-01-22
72,Diana Martin,ynorris@example.org,2025-09-04
73,Glenn Carlson,kelly75@example.com,2025-10-06
74,Alejandro Bond,kimberly42@example.com,2024-06-04
75,Pamela Thornton,valdezjesse@example.org,2024-01-27
76,George French,dakotafisher@example.org,2024-09-01
77,Rachael Camacho,leslie39@example.com,2024-08-20
78,Scott Rubio,craigashley@example.com,2024-10-14
79,Joan Santos,amandameyer@example.net,2025-05-05
80,Heather Matthews,chaneyamanda@example.org,2024-09-03
81,Raymond Ryan,schmidtjohnathan@example.net,2024-06-28
82,William Humphrey,lewislisa@example.org,2024-05-24
83,Sylvia King,michael80@example.com,2024-03-11
84,Dana Acevedo,wheath@example.net,2023-12-29
85,Christopher Daniels,jessicaholt@example.com,2025-04-12
86,Donna Jimenez,pattersonkeith@example.net,2023-11-30
87,Michael King,reyesrebecca@example.org,2024-07-15
88,Steven Payne,ngreen@example.net,2026-04-20
89,Douglas Aguilar,ronald12@example.net,2026-07-24
90,Jonathan Bradley,jwood@example.net,2025-02-13
91,Sara Clark,daniellefoster@example.org,2025-04-28
92,George Gordon,alicia90@example.com,2024-10-16
93,Dawn Schwartz,lauren12@example.net,2026-06-26
94,Edward Rush,williamsdavid@example.org,2026-01-04
95,Caitlin Lewis,lyonsjody@example.org,2024-04-17
96,Reginald Mason Jr.,williamsdarlene@example.org,2025-05-07
