sale_id,sale_date,quantity,discount_pct,revenue,product_name,category,unit_cost,unit_price,store_name,region_name,customer_name,signup_date
1,2024-10-16,1,0.0,132.95,Lipstick Set,Beauty,62.3,132.95,Store #004,West,Nathan Delgado,2023-11-18
2,2023-10-09,1,0.0,297.41,Dumbbell Set,Sports,144.37,297.41,Store #008,Midwest,Carla Price,2023-08-18
3,2023-05-23,1,0.1,110.15,Wireless Earbuds,Electronics,93.69,122.39,Store #004,West,Daniel Walters,2025-05-19
4,2024-07-12,3,0.2,372.34,Yoga Mat,Sports,87.71,155.14,Store #003,Midwest,Megan Gibbs,2023-08-22
5,2024-03-08,1,0.0,142.75,Winter Jacket,Apparel,86.68,142.75,Store #002,West,Julie Graham,2024-08-31
6,2023-04-06,1,0.0,191.56,Cookware Set,Home & Kitchen,93.45,191.56,Store #007,Midwest,Regina Anderson,2026-02-16
7,2024-06-01,4,0.2,371.14,Shampoo,Beauty,87.32,115.98,Store #020,Southwest,Monica Carter,2024-07-26
8,2024-07-28,1,0.0,150.73,Denim Jeans,Apparel,72.68,150.73,Store #007,Midwest,David Hancock,2026-04-23
9,2024-10-27,1,0.0,132.1,Cotton T-Shirt,Apparel,60.46,132.1,Store #018,West,Julie Vasquez,2025-09-27
10,2023-08-14,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #015,Southwest,Kelly Ward,2026-02-02
11,2023-10-12,2,0.0,29.72,Running Shoes,Apparel,6.92,14.86,Store #001,Southwest,Kayla Salas,2026-06-08
12,2023-06-13,4,0.1,121.25,Smartwatch,Electronics,18.14,33.68,Store #014,Southeast,Whitney Castillo,2024-02-28
13,2023-10-12,1,0.0,99.12,Face Moisturizer,Beauty,66.65,99.12,Store #005,West,Jesse Fields,2023-12-18
14,2023-12-13,1,0.0,202.43,Water Bottle,Sports,113.36,202.43,Store #004,West,Robert Huber,2025-09-17
15,2023-12-19,1,0.0,11.04,Blender,Home & Kitchen,7.32,11.04,Store #002,West,Amber Myers,2024-02-09
16,2024-04-15,3,0.15,158.64,Vacuum Cleaner,Home & Kitchen,31.42,62.21,Store #018,West,Joshua Newton,2025-01-23
17,2024-01-23,3,0.0,44.58,Running Shoes,Apparel,6.92,14.86,Store #003,Midwest,Andrew Buchanan,2025-03-23
18,2023-10-28,2,0.0,22.08,Blender,Home & Kitchen,7.32,11.04,Store #020,Southwest,John Ward,2026-04-25
19,2024-01-06,3,0.0,432.09,Resistance Bands,Sports,93.02,144.03,Store #019,Northeast,Michelle Howard,2025-09-26
20,2024-12-22,2,0.0,433.46,Perfume,Beauty,127.13,216.73,Store #008,Midwest,Dale Logan,2023-09-30
